Identifier,UUID,Title,URI,Parent,Weight,Menu name,Expanded,Enabled
1,,Keynotes,entity:node/1,0,2,footer-menu-1,1,1
2,,Sprints,entity:node/2,0,3,footer-menu-1,1,1
3,,Prises de notes collaboratives,entity:node/3,0,4,footer-menu-1,1,1
4,,À propos,entity:node/5,0,0,footer-menu-2,1,1
5,,Soirée communautaire,entity:node/6,0,2,footer-menu-2,1,1
6,,Code de conduite,entity:node/7,0,3,footer-menu-2,1,1
7,,Forfaits,entity:node/9,0,2,footer-menu-3,1,1
8,,Lieu,entity:node/11,0,0,footer-menu-4,1,1
9,,Accès,entity:node/12,0,1,footer-menu-4,1,1
10,,Hébergements,entity:node/13,0,2,footer-menu-4,1,1
11,,Se préparer,entity:node/14,0,3,footer-menu-4,1,1
12,,Bons plans,entity:node/15,0,4,footer-menu-4,1,1
13,,Programme,entity:node/1,0,0,main,1,1
14,,Keynotes,entity:node/1,13,2,main,1,1
15,,Sprints,entity:node/2,13,3,main,1,1
16,,Prises de notes collaboratives,entity:node/3,13,4,main,1,1
17,,Guide aux conférenciers,entity:node/4,13,7,main,1,1
18,,Communauté,entity:node/5,0,1,main,1,1
19,,À propos,entity:node/5,18,0,main,1,1
20,,Soirée communautaire,entity:node/6,18,2,main,1,1
21,,Code de conduite,entity:node/7,18,3,main,1,1
22,,Devenir volontaire,internal:/communaute/devenir-volontaire,18,5,main,1,1
23,,Convaincre sa société,entity:node/8,18,6,main,1,1
24,,Demander un certificat de présence,internal:/communaute/certificat-presence,18,7,main,1,1
25,,Sponsors,entity:node/9,0,2,main,1,1
26,,Forfaits,entity:node/9,25,2,main,1,1
27,,Badges,entity:node/10,25,6,main,1,1
28,,Infos pratiques,entity:node/11,0,3,main,1,1
29,,Lieu,entity:node/11,28,0,main,1,1
30,,Accès,entity:node/12,28,1,main,1,1
31,,Hébergements,entity:node/13,28,2,main,1,1
32,,Se préparer,entity:node/14,28,3,main,1,1
33,,Bons plans,entity:node/15,28,4,main,1,1
34,,Revue de presse,entity:node/16,drupalcampfr_news.main.news,1,main,1,1
